"","year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass","long","lat","distance_to_port","implementation_date","size_km2","port_size","min_depth_m","max_depth_m","depth_range","implementation_year","mpa_age","landings_lb_20002006","landings_lb_sqkm_20002006"
"1",2005,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.004084658,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",2,20684400.47,73352.9054396628
"2",2005,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.036753001,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",2,20684400.47,73352.9054396628
"3",2005,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.017729607,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",2,16669064.71,65210.338289838
"4",2005,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.000881972,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",2,16669064.71,65210.338289838
"5",2005,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.14310631,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",2,16669064.71,65210.338289838
"6",2005,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.002699845,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",2,45922774.35,203155.517872566
"7",2005,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.028380234,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",2,45922774.35,203155.517872566
"8",2005,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.056665869,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",2,45922774.35,203155.517872566
"9",2005,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.000620214,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",2,8214051.58,30145.8979179714
"10",2005,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.019097509,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",2,8214051.58,30145.8979179714
"11",2005,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",0.000319501,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",2,8214051.58,30145.8979179714
"12",2005,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.007124931,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",2,8214051.58,30145.8979179714
"13",2005,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.04212011,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",2,78398618.26,543184.417129899
"14",2005,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.055165849,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",2,78398618.26,543184.417129899
"15",2006,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.0007378,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",3,20684400.47,73352.9054396628
"16",2006,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.016150975,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",3,20684400.47,73352.9054396628
"17",2006,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.004383608,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",3,16669064.71,65210.338289838
"18",2006,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.016769681,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",3,16669064.71,65210.338289838
"19",2006,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.00128788,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",3,16669064.71,65210.338289838
"20",2006,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.032745278,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",3,16669064.71,65210.338289838
"21",2006,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.006419431,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",3,45922774.35,203155.517872566
"22",2006,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.026817364,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",3,45922774.35,203155.517872566
"23",2006,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.000493942,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",3,45922774.35,203155.517872566
"24",2006,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.014261657,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",3,45922774.35,203155.517872566
"25",2006,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.005155977,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",3,8214051.58,30145.8979179714
"26",2006,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.022866894,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",3,8214051.58,30145.8979179714
"27",2006,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",0.00041242,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",3,8214051.58,30145.8979179714
"28",2006,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.00376151,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",3,8214051.58,30145.8979179714
"29",2006,"deep_reef","South","north islands","south point smr","smr","smr","nontargeted",0.003488744,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",3,78398618.26,543184.417129899
"30",2006,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.035785788,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",3,78398618.26,543184.417129899
"31",2006,"deep_reef","South","north islands","south point smr","smr","ref","nontargeted",0.000493942,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",3,78398618.26,543184.417129899
"32",2006,"deep_reef","South","north islands","south point smr","smr","ref","targeted",0.012888828,-120.138482,33.87677793,71788.20235,"09/04/2003",33.87,"small",0,3513.78,3513.78,"2003",3,78398618.26,543184.417129899
"33",2007,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.005411399,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",0,140862314.28,993023.026044321
"34",2007,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.029162254,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",4,20684400.47,73352.9054396628
"35",2007,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.000321789,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",4,16669064.71,65210.338289838
"36",2007,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.011693414,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",4,16669064.71,65210.338289838
"37",2007,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.00266594,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",4,16669064.71,65210.338289838
"38",2007,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.039556109,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",4,16669064.71,65210.338289838
"39",2007,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.012023328,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",4,45922774.35,203155.517872566
"40",2007,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.028142914,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",4,45922774.35,203155.517872566
"41",2007,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.000349222,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",4,45922774.35,203155.517872566
"42",2007,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.032250465,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",4,45922774.35,203155.517872566
"43",2007,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.000604766,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",4,8214051.58,30145.8979179714
"44",2007,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.011737124,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",4,8214051.58,30145.8979179714
