"MPA name","MPA type","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Campus Point SMCA","SMCA","SMR","SMR",NA,"SMR"
"White Rock SMCA","SMCA",NA,"SMR",NA,NA
"Point Vicente SMCA","SMCA",NA,"SMR",NA,NA
"Blue Cavern Onshore SMCA","SMCA",NA,"SMR",NA,NA
"Abalone Cove SMCA","SMCA",NA,"SMR",NA,NA
"Farnsworth Onshore SMCA","SMCA",NA,"SMR",NA,NA
"Point Dume SMCA","SMCA",NA,"SMR",NA,NA
"Swami's SMCA","SMCA",NA,"SMR","SMR",NA
"Piedras Blancas SMCA","SMCA",NA,NA,NA,"SMR"
"Point Sur SMCA","SMCA",NA,NA,NA,"SMR"
"Southeast Farallon Island SMCA","SMCA",NA,NA,NA,"SMR"
"Point Arena SMCA","SMCA",NA,NA,NA,"SMR"
"Portuguese Ledge SMCA","SMCA",NA,NA,NA,"SMR"
"Big Creek SMCA","SMCA",NA,NA,NA,"SMR"
