"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Targeted","X",NA,NA,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Cottidae","Leptocottus","armatus","Nontargeted","X",NA,NA,"X"
"Actinopterygii","Perciformes","Embiotocidae","Amphistichus","koelzi","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Amphistichus","rhodoterus","Targeted","X",NA,NA,NA
"Actinopterygii","Clupeiformes","Clupeidae","Clupea","pallasii","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Targeted","X",NA,NA,"X"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","stellatus","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Targeted","X",NA,NA,"X"
"Actinopterygii","Atheriniformes","Atherinidae","Atherinops","affinis","Targeted","X",NA,NA,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","leptorhynchus","Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Targeted","X",NA,NA,NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Nontargeted","X",NA,NA,NA
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","Targeted","X","X","X","X"
"Actinopterygii","Atheriniformes","Atherinidae","Atherinidae",NA,"Targeted","X",NA,NA,NA
"Elasmobranchii","Carcharhiniformes","Triakidae","Triakis","semifasciata","Targeted","X","X",NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Micrometrus","minimus","Nontargeted","X","X",NA,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae",NA,NA,"Targeted","X",NA,NA,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus",NA,"Nontargeted","X",NA,NA,NA
"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","californiensis","Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Targeted","X",NA,NA,NA
"Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","pretiosus","Targeted","X",NA,NA,NA
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Targeted","X","X","X",NA
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Aulorhynchidae","Aulorhynchus","flavidus","Nontargeted","X",NA,NA,NA
"Actinopterygii","Blenniiformes","Clinidae","Gibbonsia","metzi","Nontargeted","X",NA,NA,NA
"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Platyrhinoidis","triseriata","Nontargeted","X",NA,NA,NA
"Actinopterygii","Blenniiformes","Clinidae","Heterostichus","rostratus","Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Micrometrus","aurora","Nontargeted","X",NA,NA,NA
