"affiliated_mpa","Kelp forest","Deep reef","Shallow reef","Surf zone"
"Abalone Cove SMCA","2007, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",NA,NA,NA
"Anacapa Island SMCA","2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020","2005, 2007, 2009, 2006, 2019, 2014",NA,NA
"Anacapa Island SMR","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","2005, 2007, 2009, 2006, 2019, 2014","2017, 2019, 2018, 2020",NA
"Arrow Point To Lion Head Point SMCA","2005, 2008, 2011, 2012, 2019, 2020",NA,NA,NA
"Asilomar SMR","2007, 2008, 2011","2007, 2008",NA,"2019, 2020"
"Año Nuevo SMR",NA,"2019, 2015","2017, 2014, 2008, 2007, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2018, 2019, 2020","2019, 2020"
"Begg Rock SMR","2004, 2008, 2009, 2013",NA,NA,NA
"Big Creek SMCA",NA,"2016",NA,NA
"Big Creek SMR","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2015","2016",NA,NA
"Blue Cavern Onshore SMCA","2004, 2005, 2008, 2011, 2012, 2013, 2019, 2020",NA,NA,NA
"Bodega Head SMCA",NA,"2011, 2019, 2015",NA,NA
"Bodega Head SMR",NA,"2011, 2019, 2015","2017, 2018, 2019, 2020",NA
"Cabrillo SMR","2011, 2012",NA,NA,NA
"Cambria SMCA","2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",NA,NA,NA
"Campus Point SMCA","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","2019, 2014",NA,"2019, 2020"
"Carmel Bay SMCA","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020","2007",NA,NA
"Carmel Pinnacles SMR","2007, 2008, 2010, 2011",NA,NA,NA
"Carrington Point SMR","2003, 2004, 2005, 2007, 2008","2005, 2007, 2009, 2006, 2019, 2014","2017, 2019, 2018, 2020",NA
"Cat Harbor SMCA","2004, 2005, 2008, 2011, 2012, 2019, 2020",NA,NA,NA
"Crystal Cove SMCA","2011, 2012, 2019, 2020",NA,NA,NA
"Dana Point SMCA","2011, 2012, 2019, 2020",NA,NA,NA
"Del Mar Landing SMR","2010, 2011",NA,NA,NA
"Double Cone Rock SMCA","2014, 2015, 2019",NA,NA,NA
"Farnsworth Onshore SMCA","2008, 2011, 2012, 2019",NA,NA,NA
"Gull Island SMR","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020","2005, 2007, 2009, 2006, 2019, 2014",NA,NA
"Harris Point SMR","2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2016, 2018, 2019, 2020","2005, 2007, 2009, 2006, 2019, 2014",NA,NA
"Laguna Beach SMR","2011, 2012, 2019, 2020",NA,"2017","2019, 2020"
"Long Point SMR","2011, 2012, 2019, 2020",NA,NA,NA
