"Row","Region","MPA name","Target status","Effect size","Standard error","P-value","95% lower","95% upper","Tau-2","Q","Ecosystem (latest year)"
1,"North","Point Cabrillo SMR","Targeted",-0.374,0.35,0.285,-1.06,0.311,0,0,"Kelp forest (2019)"
1,"North","Point Cabrillo SMR","Non-targeted",-0.232,0.426,0.585,-1.067,0.602,0,0,"Kelp forest (2019)"
2,"North","Sea Lion Gulch SMR","Targeted",-0.297,0.447,0.506,-1.173,0.579,0,0,"Deep reef (2014)"
2,"North","Sea Lion Gulch SMR","Non-targeted",-0.802,0.352,0.023,-1.492,-0.111,0,0,"Deep reef (2014)"
3,"North","Ten Mile SMR","Targeted",0.352,0.237,0.137,-0.111,0.816,0.142,7.409,"Surf zone (2019), Kelp forest (2020), Shallow reef (2020), Deep reef (2014)"
3,"North","Ten Mile SMR","Non-targeted",-0.061,0.723,0.933,-1.477,1.355,1.395,14,"Surf zone (2020), Kelp forest (2020), Deep reef (2014)"
4,"North","Reading Rock SMCA","Targeted",0.511,0.698,0.463,-0.856,1.879,0,0,"Surf zone (2020)"
4,"North","Reading Rock SMCA","Non-targeted",2.903,0.235,0,2.442,3.365,0,0,"Surf zone (2020)"
5,"North","South Cape Mendocino SMR","Targeted",0.559,0.26,0.032,0.049,1.068,0,0,"Shallow reef (2020)"
6,"North","Pyramid Point SMCA","Targeted",1.199,0.22,0,0.768,1.631,0,0,"Kelp forest (2018)"
6,"North","Pyramid Point SMCA","Non-targeted",-0.731,0.788,0.354,-2.275,0.813,0,0,"Kelp forest (2018)"
7,"North","Point St. George Reef Offshore SMCA","Targeted",1.359,0.392,0.001,0.592,2.127,0,0,"Deep reef (2014)"
7,"North","Point St. George Reef Offshore SMCA","Non-targeted",1.355,0.003,0,1.349,1.362,0,0,"Deep reef (2014)"
8,"North","Samoa SMCA","Targeted",4.988,0.922,0,3.181,6.795,0,0,"Surf zone (2020)"
8,"North","Samoa SMCA","Non-targeted",0.854,0.592,0.149,-0.307,2.015,0,0,"Surf zone (2020)"
9,"North Central","Salt Point SMCA","Targeted",-0.476,0.317,0.133,-1.098,0.145,0,0,"Kelp forest (2011)"
9,"North Central","Salt Point SMCA","Non-targeted",0.232,0.022,0,0.189,0.276,0,0,"Kelp forest (2011)"
10,"North Central","Saunders Reef SMCA","Targeted",0.026,0.848,0.976,-1.637,1.689,0,0,"Kelp forest (2020)"
10,"North Central","Saunders Reef SMCA","Non-targeted",-0.719,0.039,0,-0.797,-0.642,0,0,"Kelp forest (2020)"
11,"North Central","Bodega Head SMR","Targeted",0.222,0.484,0.647,-0.727,1.171,0.396,6.253,"Shallow reef (2020), Deep reef (2019)"
11,"North Central","Bodega Head SMR","Non-targeted",0.478,0.033,0,0.414,0.542,0,0,"Deep reef (2019)"
12,"North Central","Southeast Farallon Island SMR","Targeted",0.35,0.153,0.022,0.05,0.649,0,0.14,"Shallow reef (2018), Deep reef (2011)"
13,"North Central","Del Mar Landing SMR","Targeted",0.379,0.387,0.328,-0.38,1.138,0,0,"Kelp forest (2011)"
13,"North Central","Del Mar Landing SMR","Non-targeted",0.333,0.026,0,0.281,0.384,0,0,"Kelp forest (2011)"
14,"North Central","Pillar Point SMCA","Targeted",0.524,0.283,0.064,-0.031,1.079,0,0,"Deep reef (2015)"
14,"North Central","Pillar Point SMCA","Non-targeted",0.537,0.049,0,0.442,0.632,0,0,"Deep reef (2015)"
15,"North Central","Stewarts Point SMR","Targeted",0.55,0.825,0.505,-1.066,2.166,1.317,31.137,"Kelp forest (2019), Shallow reef (2020)"
15,"North Central","Stewarts Point SMR","Non-targeted",0.299,0.029,0,0.242,0.355,0,0,"Kelp forest (2019)"
16,"North Central","Sea Lion Cove SMCA","Targeted",0.874,1.058,0.409,-1.201,2.948,0,0,"Kelp forest (2011)"
17,"North Central","Point Reyes SMR","Targeted",1.053,0.454,0.02,0.162,1.944,0,0,"Surf zone (2020)"
17,"North Central","Point Reyes SMR","Non-targeted",-0.525,0.216,0.015,-0.949,-0.101,0,0,"Surf zone (2020)"
18,"North Central","Point Arena SMR","Targeted",2.172,0.573,0,1.05,3.294,0,0,"Kelp forest (2011)"
18,"North Central","Point Arena SMR","Non-targeted",0.379,0.01,0,0.359,0.399,0,0,"Kelp forest (2011)"
19,"Central","Carmel Bay SMCA","Targeted",-0.562,0.19,0.003,-0.935,-0.189,0,0,"Kelp forest (2020)"
19,"Central","Carmel Bay SMCA","Non-targeted",-0.536,0.224,0.017,-0.976,-0.097,0,0,"Kelp forest (2020)"
20,"Central","White Rock SMCA","Targeted",-0.281,0.512,0.583,-1.284,0.723,0,0,"Kelp forest (2011)"
20,"Central","White Rock SMCA","Non-targeted",1.072,0.518,0.039,0.057,2.088,0,0,"Kelp forest (2011)"
