"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef","dup_spp"
"Actinopterygii","Blenniiformes","Clinidae","Heterostichus","rostratus","Nontargeted","X","","","","Heterostichus rostratus"
"Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Nontargeted","","X","X","X","Aulorhynchus flavidus"
"Actinopterygii","Mugiliformes","Mugilidae","Mugil","cephalus","Targeted","X","","","","Mugil cephalus"
"Actinopterygii","Perciformes","Aulorhynchidae","Aulorhynchus","flavidus","Nontargeted","X","","","","Aulorhynchus flavidus"
"Actinopterygii","Perciformes","Clinidae","Heterostichus","rostratus","Nontargeted","","X","","","Heterostichus rostratus"
"Actinopterygii","Perciformes","Cottidae","Enophrys","bison","Nontargeted","","","","X","Enophrys bison"
"Actinopterygii","Perciformes","Cottidae","Leptocottus","armatus","Nontargeted","X","","","X","Leptocottus armatus"
"Actinopterygii","Perciformes","Cottidae","Scorpaenichthys","marmoratus","Targeted","X","","","X","Scorpaenichthys marmoratus"
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Nontargeted","","X","","X","Cymatogaster aggregata"
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Targeted","X","","","","Cymatogaster aggregata"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Nontargeted","","X","","X","Embiotoca jacksoni"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Targeted","X","","","","Embiotoca jacksoni"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Nontargeted","","X","X","X","Embiotoca lateralis"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Targeted","X","","","","Embiotoca lateralis"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Nontargeted","","X","","","Hyperprosopon anale"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Targeted","X","","","","Hyperprosopon anale"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Nontargeted","","X","","","Hyperprosopon argenteum"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Targeted","X","","","","Hyperprosopon argenteum"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Nontargeted","","X","","","Hyperprosopon ellipticum"
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Targeted","X","","","","Hyperprosopon ellipticum"
"Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Nontargeted","","X","","","Hypsurus caryi"
"Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Targeted","X","","","X","Hypsurus caryi"
"Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Nontargeted","","X","","X","Phanerodon furcatus"
"Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Targeted","X","","","","Phanerodon furcatus"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Nontargeted","","X","","X","Rhacochilus toxotes"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Targeted","","","X","","Rhacochilus toxotes"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Nontargeted","","X","","X","Rhacochilus vacca"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Targeted","X","","X","","Rhacochilus vacca"
"Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Nontargeted","","X","","","Anisotremus davidsonii"
"Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Targeted","","","X","","Anisotremus davidsonii"
"Actinopterygii","Perciformes","Kyphosidae","Girella","nigricans","Nontargeted","","X","X","X","Girella nigricans"
"Actinopterygii","Perciformes","Kyphosidae","Girella","nigricans","Targeted","X","","","","Girella nigricans"
"Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Nontargeted","","X","X","X","Medialuna californiensis"
"Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Targeted","X","","","","Medialuna californiensis"
"Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","Targeted","","X","","","Mugil cephalus"
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Nontargeted","X","","","","Citharichthys stigmaeus"
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Targeted","","X","X","","Citharichthys stigmaeus"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus","Nontargeted","","","X","","Psettichthys melanostictus"
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus","Targeted","X","","","","Psettichthys melanostictus"
"Actinopterygii","Scorpaeniformes","Cottidae","Enophrys","bison","Nontargeted","","X","X","","Enophrys bison"
"Actinopterygii","Scorpaeniformes","Cottidae","Leptocottus","armatus","Nontargeted","","X","","","Leptocottus armatus"
"Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Targeted","","X","X","","Scorpaenichthys marmoratus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","ruberrimus","Nontargeted","","","X","","Sebastes ruberrimus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","ruberrimus","Targeted","","","","X","Sebastes ruberrimus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rubrivinctus","Nontargeted","","","","X","Sebastes rubrivinctus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rubrivinctus","Targeted","","X","","","Sebastes rubrivinctus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","semicinctus","Nontargeted","","","","X","Sebastes semicinctus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","semicinctus","Targeted","","X","","","Sebastes semicinctus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","umbrosus","Nontargeted","","","","X","Sebastes umbrosus"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","umbrosus","Targeted","","X","X","","Sebastes umbrosus"
"Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Nontargeted","","X","","X","Myliobatis californica"
"Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Targeted","X","","X","","Myliobatis californica"
"Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Nontargeted","","","","X","Raja stellulata"
"Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Targeted","","X","","","Raja stellulata"
"Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Nontargeted","","X","","","Platyrhinoidis triseriata"
"Elasmobranchii","Rajiformes","Rhinobatidae","Pseudobatos","productus","Targeted","","X","","","Pseudobatos productus"
"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Platyrhinoidis","triseriata","Nontargeted","X","","","","Platyrhinoidis triseriata"
