"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax","mordax","Nontargeted","","X","",""
"Actinopterygii","Blenniiformes","Clinidae","Heterostichus","rostratus","Nontargeted","X","","",""
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Targeted","X","X","X",""
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius","productus","Targeted","","","","X"
"Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Nontargeted","","X","X","X"
"Actinopterygii","Mugiliformes","Mugilidae","Mugil","cephalus","Targeted","X","","",""
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys","pacificus","Targeted","","X","",""
"Actinopterygii","Perciformes","Aulorhynchidae","Aulorhynchus","flavidus","Nontargeted","X","","",""
"Actinopterygii","Perciformes","Clinidae","Heterostichus","rostratus","Nontargeted","","X","",""
"Actinopterygii","Perciformes","Cottidae","Enophrys","bison","Nontargeted","","","","X"
"Actinopterygii","Perciformes","Cottidae","Leptocottus","armatus","Nontargeted","X","","","X"
"Actinopterygii","Perciformes","Cottidae","Scorpaenichthys","marmoratus","Targeted","X","","","X"
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Nontargeted","","X","","X"
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Targeted","X","","",""
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Nontargeted","","X","","X"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Targeted","X","","",""
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Nontargeted","","X","X","X"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Targeted","X","","",""
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Nontargeted","","X","",""
"Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Targeted","X","","",""
