"habitat","MPA","MPA_type","period_1","period_2","SumOfSqs","R2","F.stat","p.value","distance","sd_pooled"
"Rocky reef fishes","ano nuevo smr","ref","before","during",0.0411838918001194,0.185842166249775,1.82610455659426,0.1,0.105408976202739,0.0390335600029861
"Rocky reef fishes","ano nuevo smr","ref","before","after",0.116193263676161,0.385545577988627,5.6471400930587,0.018,0.252075603261429,0.046577068723798
"Rocky reef fishes","point buchon smr","ref","before","during",0.102794536095049,0.300058347274926,3.4295241165513,0.011,0.147870219146336,0.0399466161368505
"Rocky reef fishes","point buchon smr","ref","before","after",0.144318706191838,0.30671944755018,3.9817574836003,0.004,0.150986635586306,0.0501993748997625
"Rocky reef fishes","point lobos smr","ref","before","during",0.0395308749497537,0.151058613981711,1.42350099990019,0.203,0.0929193618490143,0.0402867047895747
"Rocky reef fishes","point lobos smr","ref","before","after",0.116034849017698,0.345601753963554,4.75309309661376,0.009,0.14460348090889,0.0380797438349925
"Rocky reef fishes","ano nuevo smr","smr","before","during",0.0231630889696467,0.135240343093559,1.25112536889024,0.276,0.0726895706099189,0.0294518811740755
"Rocky reef fishes","ano nuevo smr","smr","before","after",0.0900564542949141,0.398988594302862,5.97475740840647,0.006,0.190235298331207,0.0247196303593549
"Rocky reef fishes","point buchon smr","smr","before","during",0.0869858732281178,0.281644265537059,3.13654365964098,0.007,0.136002775056911,0.0320159122769393
"Rocky reef fishes","point buchon smr","smr","before","after",0.150739760232808,0.381423896043169,5.54954360899155,0.006,0.159814161484243,0.0342085714017031
"Rocky reef fishes","point lobos smr","smr","before","during",0.0499995391554559,0.259551898206866,2.80426836212626,0.087,0.115117390684517,0.0238464297193318
"Rocky reef fishes","point lobos smr","smr","before","after",0.12630380344976,0.46279905145627,7.75350727581108,0.004,0.167975354630215,0.0230914634384122
"Rocky reef fishes","piedras blancas smr","ref","before","during",0.0583093612863982,0.278700667983648,2.31832185845415,0.122,0.177545499311492,0.0382582305281828
"Rocky reef fishes","piedras blancas smr","ref","before","after",0.348255452264769,0.674749081914088,16.5963948298122,0.008,0.166629587382488,0.0345264403673596
"Rocky reef fishes","piedras blancas smr","smr","before","during",0.0601261828216808,0.319735371621508,2.82009698828801,0.074,0.135724377974882,0.042993827894195
"Rocky reef fishes","piedras blancas smr","smr","before","after",0.167190244164595,0.494102286106094,7.81347331741,0.005,0.183678848028622,0.0379810411875453
"Rocky intertidal","point sur smr","smr","before","during",0.0157688497692967,0.259362663987621,2.80150785143012,0.025,0.0889196355638771,0.0110361653283649
"Rocky intertidal","point sur smr","smr","before","after",0.0198111274562495,0.174802715356773,1.90648281021808,0.04,0.0883036038349816,0.0259135564881154
"Rocky intertidal","boat house","ref","before","during",0.0345946938720965,0.342282264533091,4.16327243224004,0.02,0.119211329603566,0.017919032980347
"Rocky intertidal","boat house","ref","before","after",0.0757552024678919,0.52301738257785,9.86861212813259,0.003,0.108164298686619,0.0144137791319592
"Rocky intertidal","cayucos","ref","before","during",0.102253624088737,0.497057541281812,7.90639219522052,0.011,0.147618960977084,0.0331334918495473
"Rocky intertidal","cayucos","ref","before","after",0.104061770955287,0.481787625421803,8.36739692355979,0.003,0.148267416312627,0.0277681957730703
"Rocky intertidal","davenport landing","ref","before","after",0.351535035052551,0.844457246101516,16.2873015605598,0.2,0.439417550241953,NA
"Rocky intertidal","point buchon smr","smr","before","after",0.389893983865817,0.932317294845204,41.3244694954015,0.2,0.491860175641849,NA
"Rocky intertidal","hazards","ref","before","during",0.255626993015929,0.663311787530522,15.7608556038332,0.008,0.257748809225206,0.0464620185972157
"Rocky intertidal","hazards","ref","before","after",0.147272050113909,0.4219304466883,6.56906076170236,0.004,0.145126813025364,0.047428067503056
"Rocky intertidal","lovers point - julia platt smr","smr","before","during",0.0152116448883161,0.217976787040837,2.22987536358176,0.13,0.119598102159446,0.0238864652573547
"Rocky intertidal","lovers point - julia platt smr","smr","before","after",0.0242997629437035,0.226456897143339,2.63477505876969,0.037,0.0901269974044575,0.0279456068987748
"Rocky intertidal","mill creek","ref","before","during",0.0151352660280416,0.154383348801432,1.46055164436614,0.208,0.0871866720943262,0.0181491587876307
"Rocky intertidal","mill creek","ref","before","after",0.0431777661375537,0.14403916233452,1.51449973406063,0.161,0.0922066951541589,0.0656946230240809
"Rocky intertidal","natural bridges smr","smr","before","during",0.0999498202908214,0.0906545171869407,1.59507283249928,0.178,0.241468934708939,0.0776767417925109
"Rocky intertidal","natural bridges smr","smr","before","after",0.0651343598072582,0.0623904022622564,1.13121371732697,0.346,0.147310993497515,0.0758206485762361
"Rocky intertidal","occulto","ref","before","during",0.050713729009918,0.375291725119893,4.80597732043064,0.014,0.155216964795971,0.0215286426464598
